X,Y,Z,Scat_Angle,DoCA
60.2904,56.3526,-66.5444,-0.00853732,0.216519
54.204,76.8095,-57.1512,-0.0236771,0.383535
75.7653,61.4214,-74.7001,-0.0141234,0.140252
58.8318,66.472,-53.3208,0.00227942,0.0931619
84.5802,73.5209,-52.9211,0.00782075,0.041855
96.6486,70.475,-58.4339,0.00366362,0.0321742
60.8462,88.2424,-63.5733,-0.0169224,0.171322
76.5649,69.9326,-56.2359,0.188587,6.19325
82.1497,62.8392,-54.6758,0.0736314,0.112913
81.6503,69.7218,-73.908,0.00246196,0.0479036
65.8515,73.6683,-66.3892,0.00558273,0.598857
54.6893,70.885,-50.2432,-0.00476213,0.0826948
96.7109,66.5217,-68.1763,-0.00355924,0.824749
66.2191,58.9631,-50.5301,-0.0750993,0.0824158
64.0582,63.7807,-88.5315,0.0117717,3.57354
52.1492,59.0277,-48.0039,0.00234011,0.00903142
89.0141,96.2319,-58.1572,-0.0157984,0.201981
64.5987,61.1853,-75.7265,-0.00822155,0.460683
92.0682,70.0727,-50.9991,0.0885424,0.341911
99.8063,53.7021,-75.3543,0.0302757,0.544993
52.6274,86.8823,-57.5865,0.011438,0.528668
54.8667,56.9129,-50.3583,-0.0267749,1.87261
50.2561,52.6383,-51.2851,-0.00220975,0.00740277
94.4347,75.6358,-46.1094,0.0196043,0.907415
76.8725,79.2088,-60.6782,0.0103041,1.51361
78.1905,54.8942,-66.2264,-0.00426336,0.294288
59.2944,67.4947,-78.7417,0.00683627,0.00388048
66.6813,84.9873,-76.5884,0.00135735,0.0471034
60.4267,88.1958,-67.3912,-0.0236466,0.307195
64.699,73.7673,-55.2787,-0.0309336,0.0919396
57.3272,53.2601,-45.7205,-0.0797984,1.35142
86.2559,88.0021,-59.2929,-0.0224935,2.4795
58.8279,70.4354,-59.3559,0.0394763,1.59947
97.3843,58.913,-71.7965,0.0030363,0.0462417
80.8195,73.1731,-53.8802,-0.0243023,2.88257
64.9252,94.6898,-54.0261,0.0686675,3.98363
85.2039,61.9814,-78.1038,0.0163749,0.681366
72.5284,65.8778,-70.4227,-0.00332426,0.00390018
86.3899,90.1827,-45.7383,0.0182727,1.38536
68.8926,63.5592,-48.8483,0.00552932,0.0274984
